loss_D_fake,loss_D_real,loss_D,loss_G_GAN,loss_G_L1,loss_G
0.52746,0.54955,0.53851,1.30684,8.30669,9.61353
0.52965,0.55411,0.54188,1.30384,8.34462,9.64846
0.53011,0.55538,0.54275,1.31192,8.36854,9.68046
0.52661,0.55417,0.54039,1.31144,8.39578,9.70723
0.52778,0.55627,0.54202,1.31433,8.39960,9.71393
0.52634,0.55268,0.53951,1.31319,8.40792,9.72111
0.52551,0.55309,0.53930,1.30889,8.39307,9.70196
0.53741,0.56215,0.54978,1.29240,8.40491,9.69731
0.53132,0.56167,0.54649,1.31037,8.28545,9.59582
0.52851,0.55041,0.53946,1.30419,8.20052,9.50471
0.53566,0.55063,0.54315,1.30039,8.22356,9.52395
0.53321,0.55292,0.54307,1.29749,8.24972,9.54721
0.52897,0.54905,0.53901,1.30522,8.25888,9.56410
0.53102,0.55315,0.54209,1.31147,8.26053,9.57200
0.52979,0.54925,0.53952,1.31248,8.26938,9.58185
0.52845,0.55052,0.53949,1.30557,8.26042,9.56600
0.53401,0.55308,0.54354,1.30144,8.28905,9.59049
0.53082,0.54302,0.53692,1.33050,8.18926,9.51976
0.52533,0.53917,0.53225,1.31169,8.13557,9.44727
0.53479,0.54525,0.54002,1.30924,8.13488,9.44412
0.53496,0.54996,0.54246,1.30352,8.17404,9.47756
0.53132,0.54830,0.53981,1.30612,8.19511,9.50123
0.53236,0.55221,0.54229,1.30977,8.19638,9.50615
0.53063,0.54963,0.54013,1.30790,8.20241,9.51032
0.52967,0.54871,0.53919,1.30398,8.18352,9.48749
0.54539,0.56821,0.55680,1.31854,8.17659,9.49513
0.53792,0.56155,0.54974,1.31639,8.09987,9.41626
0.53185,0.55250,0.54217,1.30891,8.04074,9.34965
0.53174,0.55191,0.54182,1.30594,8.03896,9.34490
0.53236,0.55412,0.54324,1.30000,8.05718,9.35717
0.52979,0.55362,0.54170,1.30318,8.07242,9.37560
0.53217,0.55527,0.54372,1.30894,8.06104,9.36998
0.53041,0.55244,0.54142,1.30609,8.07342,9.37950
0.52843,0.55077,0.53960,1.30253,8.06278,9.36531
0.52403,0.54488,0.53446,1.32178,8.15243,9.47421
0.52856,0.55105,0.53980,1.33647,8.01753,9.35400
0.52915,0.54537,0.53726,1.32395,7.94747,9.27142
0.53130,0.54565,0.53848,1.31533,7.94848,9.26381
0.53228,0.54702,0.53965,1.31801,7.95509,9.27309
0.52992,0.54437,0.53714,1.31840,7.96893,9.28733
0.52952,0.54466,0.53709,1.32365,7.96153,9.28519
0.52943,0.54301,0.53622,1.31675,7.98150,9.29825
0.52956,0.54097,0.53526,1.31447,7.96536,9.27983
0.53815,0.54596,0.54206,1.33925,8.05259,9.39184
0.54485,0.55781,0.55133,1.33829,7.93132,9.26961
0.53622,0.54716,0.54169,1.32163,7.86706,9.18869
0.53542,0.54656,0.54099,1.31477,7.87664,9.19141
0.53676,0.54884,0.54280,1.31467,7.87194,9.18661
0.53315,0.54757,0.54036,1.31829,7.88641,9.20470
0.53332,0.54729,0.54031,1.32164,7.87342,9.19506
0.53165,0.54406,0.53785,1.31868,7.88402,9.20271
0.53021,0.54341,0.53681,1.31564,7.87498,9.19062
0.52415,0.54285,0.53350,1.33787,7.90272,9.24060
0.53188,0.55209,0.54199,1.34614,7.78549,9.13163
0.52905,0.54358,0.53632,1.32809,7.72604,9.05413
0.53063,0.54666,0.53864,1.31617,7.74034,9.05651
0.53088,0.54629,0.53859,1.31514,7.75083,9.06597
0.52779,0.54401,0.53590,1.32012,7.76823,9.08835
0.53027,0.54578,0.53803,1.32652,7.76131,9.08782
0.52925,0.54366,0.53646,1.32529,7.77757,9.10286
0.52969,0.54248,0.53609,1.32167,7.76684,9.08851
0.51453,0.51565,0.51509,1.33606,7.81308,9.14914
0.52219,0.53411,0.52815,1.34847,7.70455,9.05302
0.52502,0.53093,0.52798,1.33804,7.65652,8.99456
0.52296,0.53136,0.52716,1.32814,7.66660,8.99473
0.52490,0.53461,0.52975,1.32666,7.68338,9.01005
0.52556,0.53744,0.53150,1.32655,7.69845,9.02499
0.52712,0.53889,0.53300,1.33248,7.69106,9.02354
0.52769,0.53965,0.53367,1.33166,7.70541,9.03707
0.52673,0.53951,0.53312,1.32719,7.68819,9.01538
0.51761,0.53505,0.52633,1.32389,7.80396,9.12785
0.51776,0.54288,0.53032,1.34817,7.63735,8.98552
0.52058,0.53936,0.52997,1.34427,7.58455,8.92882
0.52139,0.54050,0.53094,1.33321,7.59358,8.92679
0.51985,0.54083,0.53034,1.32927,7.61189,8.94116
0.51971,0.54172,0.53072,1.33191,7.61961,8.95152
0.52214,0.54298,0.53256,1.33613,7.61143,8.94755
0.52306,0.54152,0.53229,1.33443,7.62540,8.95983
0.52331,0.54186,0.53258,1.33206,7.61617,8.94823
0.51394,0.53276,0.52335,1.33473,7.66167,8.99640
0.52272,0.54350,0.53311,1.37053,7.51516,8.88569
0.52041,0.53822,0.52931,1.35017,7.47378,8.82395
0.51891,0.53516,0.52704,1.34375,7.48334,8.82709
0.52426,0.53966,0.53196,1.34049,7.49500,8.83549
0.52080,0.53749,0.52914,1.34411,7.51438,8.85849
0.52008,0.53713,0.52860,1.34782,7.50186,8.84969
0.52216,0.53797,0.53006,1.34523,7.51827,8.86351
0.52103,0.53723,0.52913,1.33962,7.50872,8.84834
0.52884,0.52972,0.52928,1.33977,7.58028,8.92005
0.53708,0.54712,0.54210,1.36955,7.43660,8.80615
0.53390,0.54314,0.53852,1.34903,7.39841,8.74743
0.52833,0.54000,0.53417,1.33887,7.41040,8.74926
0.52794,0.54154,0.53474,1.34252,7.42578,8.76830
0.52605,0.54188,0.53396,1.34253,7.43743,8.77995
0.52597,0.54199,0.53398,1.34375,7.43373,8.77749
